Dataset,Memory(10KB),AAE
CM,1.0,1.17191
CM,2.0,0.218793
CM,3.0,-0.351783
CM,4.0,-0.811435
CM,5.0,-1.25012
CM,6.0,-1.49328
CM,7.0,-1.71643
CM,8.0,-1.96374
CM,9.0,-2.16641
CM,10.0,-2.49761
CU,1.0,0.66174
CU,2.0,-0.382757
CU,3.0,-1.03245
CU,4.0,-1.54991
CU,5.0,-2.00224
CU,6.0,-2.31324
CU,7.0,-2.49761
CU,8.0,-2.83777
CU,9.0,-2.88183
CU,10.0,-3.35003
NAME,1.0,0.912447
NAME,2.0,-0.121133
NAME,3.0,-0.729646
NAME,4.0,-1.251
NAME,5.0,-1.72206
NAME,6.0,-1.99851
NAME,7.0,-2.19546
NAME,8.0,-2.53511
NAME,9.0,-2.63553
NAME,10.0,-3.0115
